player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,MIA,9,5,0,17,73.7,3,15,186,96.6,12.4,23,0,6.5,3,205,198,21,4,77.1,3,12,101,97.3,16.8,17,9.4,2,112,109,17
Brandon Graham,5538,ED,PHI,9,0,0,24,68.6,1,11,121,90.4,14.0,17,1,6.6,2,146,132,14,0,71.0,1,8,51,93.2,23.5,12,10.8,1,59,55,10
Jerry Hughes,5556,ED,HST,5,0,0,13,48.1,0,1,21,88.5,4.8,1,0,2.4,0,26,23,1,0,49.5,0,1,9,83.3,11.1,1,5.6,0,12,10,1
Linval Joseph,5571,DI,DAL,9,0,0,9,85.1,0,2,64,100.0,7.8,5,1,3.1,1,69,69,3,0,62.1,0,1,19,100.0,5.3,1,2.6,0,20,20,1
Von Miller,6154,ED,BUF,6,0,0,4,77.1,2,10,101,96.3,16.8,17,1,8.9,3,108,104,15,0,79.5,2,5,54,93.1,24.1,13,12.0,3,58,54,10
Cameron Jordan,6176,ED,NO,10,1,0,20,49.7,1,10,165,96.6,6.1,10,0,3.9,1,178,172,12,1,50.3,1,3,76,96.3,7.9,6,3.9,1,82,79,5
Cameron Heyward,6183,DI,PIT,9,2,0,25,86.3,7,17,228,100.0,18.9,43,0,8.3,7,245,245,31,2,87.7,6,11,113,100.0,23.0,26,11.9,5,123,123,22
Lawrence Guy Sr.,6385,DI,CIN,4,0,0,7,52.5,0,0,41,100.0,2.4,1,0,0.0,0,41,41,0,0,53.6,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Nick Bellore,6515,LB,WAS,3,0,0,32,60.0,0,0,1,25.0,0.0,0,0,0.0,0,4,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Bobby Wagner,7050,LB,WAS,10,0,0,32,85.0,2,10,52,15.5,23.1,12,0,17.3,3,341,53,15,0,89.7,2,7,29,20.3,34.5,10,22.4,2,148,30,11
